"filename", "language", "JSON", "C++", "YAML", "Dart", "Markdown", "Swift", "HTML", "Gradle", "Java Properties", "XML", "comment", "blank", "total"
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_BARCODE.dart", "Dart", 0, 0, 0, 413, 0, 0, 0, 0, 0, 0, 1, 35, 449
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_VERIFY.dart", "Dart", 0, 0, 0, 582, 0, 0, 0, 0, 0, 0, 0, 37, 619
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_WARE.dart", "Dart", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 24, 13, 205
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_CREATE.dart", "Dart", 0, 0, 0, 526, 0, 0, 0, 0, 0, 0, 7, 37, 570
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_FORM.dart", "Dart", 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 1, 22, 270
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_MAIN.dart", "Dart", 0, 0, 0, 359, 0, 0, 0, 0, 0, 0, 105, 61, 525
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_MENU.dart", "Dart", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 13, 121
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_SEARCH.dart", "Dart", 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 2, 18, 193
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_ADD_DOC.dart", "Dart", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 1, 10, 168
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_CARD.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 58, 13, 126
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_FROM_ADD.dart", "Dart", 0, 0, 0, 423, 0, 0, 0, 0, 0, 0, 15, 28, 466
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_MAIN.dart", "Dart", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 7, 137
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_SCREEN2.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 2, 62
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_SEARCH_DOC.dart", "Dart", 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 1, 7, 167
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\CardTest.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 27, 477
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_POPUP.dart", "Dart", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 4, 2, 152
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_WARE.dart", "Dart", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 26, 15, 210
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_barcode.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 439, 22, 461
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 551, 37, 588
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_card_main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 551, 37, 588
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_form.dart", "Dart", 0, 0, 0, 864, 0, 0, 0, 0, 0, 0, 32, 51, 947
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_grid.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1463, 70, 1533
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_grid_data.dart", "Dart", 0, 0, 0, 2209, 0, 0, 0, 0, 0, 0, 46, 132, 2387
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_main.dart", "Dart", 0, 0, 0, 468, 0, 0, 0, 0, 0, 0, 248, 61, 777
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_search.dart", "Dart", 0, 0, 0, 233, 0, 0, 0, 0, 0, 0, 7, 23, 263
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_verify.dart", "Dart", 0, 0, 0, 461, 0, 0, 0, 0, 0, 0, 34, 38, 533
"c:\Users\h\Downloads\App\wms_android\lib\bottombar.dart", "Dart", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 1, 11, 137
"c:\Users\h\Downloads\App\wms_android\lib\custom_appbar.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 33, 5, 83
"c:\Users\h\Downloads\App\wms_android\lib\custom_drawer.dart", "Dart", 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 28, 3, 249
"c:\Users\h\Downloads\App\wms_android\lib\data_api.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 3, 7, 59
