"filename", "language", "JSON", "HTML", "C++", "Markdown", "Dart", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\h\Downloads\App\wms\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\h\Downloads\App\wms\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 61, 15, 94
"c:\Users\h\Downloads\App\wms\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\h\Downloads\App\wms\web\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\h\Downloads\App\wms\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\h\Downloads\App\wms\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\h\Downloads\App\wms\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\h\Downloads\App\wms\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\h\Downloads\App\wms\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\h\Downloads\App\wms\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\h\Downloads\App\wms\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\h\Downloads\App\wms\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\h\Downloads\App\wms\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\h\Downloads\App\wms\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\h\Downloads\App\wms\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 248, 19, 539, 13, 2006, 21, 50, 472, 81, 8, 308, 432, 4197
